id_sondeo;Desde;Hasta;Litologia ;Agua S/N;Codigo Color;Check_Profundidad
C4-P12;0,00;3,00;Suelo vegetal / rellenos;;Amarillo/Ocre;OK
C4-P12;3,00;100,00;Granito Sano;;Gris claro;OK
C4-P11;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P11;3,00;102,50;Granito Sano;;Gris claro;OK
C4-P10;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P10;3,00;65,00;Granito Sano;;Gris claro;OK
C4-P10;65,00;65,50;Granito Alterado;;Marrón;OK
C4-P10;65,50;103,50;Granito Sano;;Gris claro;OK
C4-P9;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P9;3,00;74,00;Granito Sano;;Gris claro;OK
C4-P9;74,00;74,50;Granito Alterado;;Amarillo/Ocre;OK
C4-P9;74,50;103,50;Granito sano;;Gris claro;OK
C4-P6;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P6;3,00;102,50;Granito sano;;Gris claro;OK
C4-P5;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P5;3,00;65,00;Granito Sano;;Gris claro;OK
C4-P5;65,00;65,50;Granito Alterado;;Amarillo/Ocre;OK
C4-P5;65,50;102,50;Granito Sano;;Gris claro;OK
C4-P2;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P2;3,00;65,00;Granito Sano;;Gris claro;OK
C4-P2;65,00;65,50;Granito Alterado;;Amarillo/Ocre;OK
C4-P2;65,50;102,00;Granito Sano;;Gris claro;OK
C4-P1;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C4-P1;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P11;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P11;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P8;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P8;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P7;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P7;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P5;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P5;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P6;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P6;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P2;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P2;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P1;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P1;3,00;103,50;Granito Sano;;Gris claro;OK
C3-P3;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P3;3,00;151,50;Granito Sano;;Gris claro;OK
C3-P4;0,00;3,00;Suelo vegetal / rellenos;;Marrón;OK
C3-P4;3,00;151,50;Granito Sano;;Gris claro;OK
